AID	ELYEAR1	ELYEAR2	ELYEAR3	ELYEAR4	ELYEAR5	ELYEAR6	ELMAT945	ELGLV945	ELY1NINE	EAMSQ1	EAMSQ2	EAMSQ3	EAMSQ4	EAMSQ5	EAMSQ6	EAMSQH	EAMSQB1	EAMSQB2	EAMSQB3	EAMSQB4	EAMSQB5	EAMSQB6	EAMSQBH	EASSQ1	EASSQ2	EASSQ3	EASSQ4	EASSQ5	EASSQ6	EASSQH	EASSQB1	EASSQB2	EASSQB3	EASSQB4	EASSQB5	EASSQB6	EASSQBH	EAMGPA1	EAMGPA2	EAMGPA3	EAMGPA4	EAMGPA5	EAMGPA6	EAMGPAC	EASGPA1	EASGPA2	EASGPA3	EASGPA4	EASGPA5	EASGPA6	EASGPAC	EAOGPA1	EAOGPA2	EAOGPA3	EAOGPA4	EAOGPA5	EAOGPA6	EAOGPAC	EAMFIX1	EAMFIX2	EAMFIX3	EAMFIX4	EAMFIX5	EAMFIX6	EAMFIXC	EASFIX1	EASFIX2	EASFIX3	EASFIX4	EASFIX5	EASFIX6	EASFIXC	EAOFIX1	EAOFIX2	EAOFIX3	EAOFIX4	EAOFIX5	EAOFIX6	EAOFIXC
97574091	1992	1993	1994	9992	9992	9992	3	11	1	2	3	4	9992	9992	9992	4	2	0	0	9992	9992	9992	2	2	2	0	9992	9992	9992	2	2	2	0	9992	9992	9992	2	2	3.5	0	9992	9992	9992	1.833	1.5	2	9994	9992	9992	9992	1.75	1.5	2.667	0	9992	9992	9992	1.515	0	0	1	9992	9992	9992	.333	0	0	9994	9992	9992	9992	0	.167	0	1	9992	9992	9992	.333
97574102	1994	1995	1996	1997	9992	9992	1	9	1	4	5	7	8	9992	9992	8	4	5	7	8	9992	9992	8	3	4	6	0	9992	9992	6	3	4	6	0	9992	9992	6	2	1.5	1	2	9992	9992	1.625	1	1.5	4	9994	9992	9992	2.167	2.5	2.833	2.5	2.583	9992	9992	2.604	0	0	0	0	9992	9992	0	0	0	0	9994	9992	9992	0	0	0	0	0	9992	9992	0
97574126	1991	1992	1993	1994	1995	9992	4	12	1	3	4	5	0	0	9992	5	3	4	0	0	0	9992	4	0	2	5	0	0	9992	5	0	2	3	0	0	9992	3	3	1.5	0	9994	9994	9992	1.8	9994	1	.5	9994	9994	9992	.667	2.786	1.867	1.1	1	.833	9992	1.655	0	0	1	9994	9994	9992	.2	9994	0	.5	9994	9994	9992	.333	0	.067	.3	.385	.5	9992	.207
97574127	1991	1992	1993	1994	9992	9992	4	12	1	5	6	8	7	9992	9992	8	5	6	8	7	9992	9992	8	2	5	4	0	9992	9992	5	2	5	4	0	9992	9992	5	3	3	3	3	9992	9992	3	3	3.5	3	9994	9992	9992	3.2	3.643	3.5	3.692	3.5	9992	9992	3.585	0	0	0	0	9992	9992	0	0	0	0	9994	9992	9992	0	0	0	0	0	9992	9992	0
97574142	1991	1992	1993	1994	9992	9992	4	12	1	6	6	5	8	9992	9992	8	6	6	5	8	9992	9992	8	2	3	4	0	9992	9992	4	2	3	4	0	9992	9992	4	1.5	1	1	1	9992	9992	1.143	1.5	2.5	1.5	9994	9992	9992	1.833	2.167	2	1.9	1.167	9992	9992	1.902	0	0	0	0	9992	9992	0	0	0	0	9994	9992	9992	0	0	.077	0	0	9992	9992	.024
97574300	1995	1996	1997	1998	9992	9992	9993	9993	1	5	8	8	4	9992	9992	8	5	8	8	4	9992	9992	8	4	3	6	0	9992	9992	6	4	3	6	0	9992	9992	6	4	3.5	2.5	4	9992	9992	3.5	4	3.5	3.5	9994	9992	9992	3.667	3.5	3.733	3.5	3.667	9992	9992	3.6	0	0	0	0	9992	9992	0	0	0	0	9994	9992	9992	0	0	0	0	0	9992	9992	0
97574303	1995	1996	1997	9992	9992	9992	9993	9993	0	5	9	9	9992	9992	9992	9	5	9	9	9992	9992	9992	9	6	6	5	9992	9992	9992	6	6	6	5	9992	9992	9992	6	2.5	3.5	3	9992	9992	9992	3	3.25	3.333	3.5	9992	9992	9992	3.333	3.25	3.583	3.5	9992	9992	9992	3.441	0	0	0	9992	9992	9992	0	0	0	0	9992	9992	9992	0	0	0	0	9992	9992	9992	0
97574406	1992	1993	1994	1995	9992	9992	3	11	1	4	5	8	8	9992	9992	8	4	5	8	8	9992	9992	8	3	4	6	6	9992	9992	6	3	4	6	6	9992	9992	6	3	3	2	2	9992	9992	2.5	2	3.5	4	3.5	9992	9992	3.25	2.917	3	3.143	3	9992	9992	3.02	0	0	0	0	9992	9992	0	0	0	0	0	9992	9992	0	0	0	0	0	9992	9992	0
97574407	1992	1993	1994	1995	9992	9992	3	11	1	4	5	8	8	9992	9992	8	4	5	8	8	9992	9992	8	2	4	6	0	9992	9992	6	2	4	6	0	9992	9992	6	3	2.5	1.5	2	9992	9992	2.25	3	2	2.5	9994	9992	9992	2.5	3.25	2.583	2.429	2.833	9992	9992	2.76	0	0	.5	0	9992	9992	.125	0	0	0	9994	9992	9992	0	0	0	.071	0	9992	9992	.02
97574413	1991	1992	1993	1994	9992	9992	4	12	1	2	4	5	0	9992	9992	5	2	4	5	0	9992	9992	5	2	2	2	0	9992	9992	2	2	2	2	0	9992	9992	2	4	3.5	2	9994	9992	9992	3.167	3	2.5	3	9994	9992	9992	2.833	3.643	3.143	2.643	3	9992	9992	3.125	0	0	0	9994	9992	9992	0	0	0	0	9994	9992	9992	0	0	0	0	0	9992	9992	0
