AID	CLUSTER2	GSW5	GSW12345	GSW1345	GSW145
90572285	113	113.4592666626	548.489440918	209.646286011	175.458847046
90572303	116	299.6446838379	507.436523438	341.5418396	344.888946533
90572325	111	408.8862609864	 	 	 
90572341	119	1581.3436279297	1689.755615235	1510.698730469	1456.163574219
90572369	114	1274.6287841797	 	 	 
90572383	113	56.6822013855	 	 	 
90572389	113	231.5459747315	 	 	 
90572393	118	516.2821655274	1609.369140625	793.122131348	680.289855958
90572397	118	308.3947448731	 	 	440.77142334
90572469	114	490.0584411622	720.51928711	810.317443848	662.684936524
90572667	114	525.9046020508	 	 	558.59338379
90572864	114	904.1336059571	 	 	784.746398926
90572900	116	351.3052062989	506.274017334	466.258453369	386.372161865
90572909	116	784.9498291016	964.77734375	921.969299317	869.241149903
90572940	119	1582.4425048829	 	 	1473.798706055
90572974	120	308.6896362305	604.757324219	515.23046875	364.399536133
90572984	113	126.1815261841	 	214.266677857	166.560455322
90572991	118	391.07711792	408.204681397	387.18737793	337.753601074
90573011	185	317.2691955568	1825.130126954	498.857208252	517.180908203
90573013	185	590.4788208008	 	 	576.76361084
90573117	185	177.9331665041	 	278.74609375	279.972351074
90573194	188	369.4209289551	 	499.110809326	436.985198975
90573212	185	884.2910766602	1242.250488282	886.287414551	833.576538086
90573217	185	293.8387756348	 	 	388.623901367
90573491	188	423.4642333986	522.211303711	508.295928955	465.363067627
90573618	185	449.0633850098	837.527160645	973.093078614	764.033081055
90573897	188	1783.2369384766	 	 	 
90573940	189	586.5348510743	968.692382813	750.831542969	753.057495118
90573941	189	656.6548461915	930.545898438	1073.155273438	760.96270752
90573946	189	371.8655395508	797.845275879	454.011871338	424.248138428
90573947	189	743.1677856446	 	 	 
90573954	182	331.3619995118	395.41583252	374.247833252	373.262573242
90573956	182	837.0001220704	1199.576293946	1089.38256836	876.374511719
90573959	182	287.0023803711	867.829650879	449.082977295	400.936279297
90573992	188	772.8074340821	 	1051.152587891	802.317016602
90573994	188	2505.0324707032	 	 	2860.625
90574133	167	630.7277832032	997.791137696	1152.758789063	833.599914551
90574145	169	1083.5473632813	 	 	1305.709106446
90574197	168	785.8701171875	 	843.05847168	821.573303223
90574204	166	220.6305541993	378.370025635	416.727600098	350.147399903
90574205	166	646.7723388672	1400.822021485	1465.117797852	1440.787719727
90574218	165	1749.3236083985	 	 	 
90574307	166	88.0721740723	 	100.911773682	81.801429749
90574392	168	762.8240966797	980.60736084	1126.123779297	822.028076172
90574415	165	1404.7528076172	2237.151123047	2774.000244141	2072.134521485
90574489	163	394.437072754	549.838745118	550.286193848	486.493255615
90574494	168	448.5547485352	 	661.075805665	653.595214844
90574499	168	536.5368652344	 	 	711.494445801
90574503	166	416.8500061036	436.137451172	445.19519043	419.907196045
90574697	168	1025.8626708985	 	 	 
90574744	169	1303.0189208985	2550.853515625	2071.341552735	1864.128051758
90574805	166	60.4320411683	78.733581543	86.112236023	71.772872925
90574884	163	986.9385375977	 	2136.742919922	1904.678100586
90574890	168	564.46875	1013.021118165	1094.443969727	791.600830079
90574935	167	187.4673461916	 	233.00289917	229.795761109
90574992	168	402.1362609864	 	426.56326294	397.024566651
90575009	126	387.5025634766	 	 	 
90575027	121	203.3389434815	 	 	 
90575111	125	551.9798583985	721.324768067	551.049743653	600.928283692
90575118	125	896.8966064454	 	1607.259765625	1258.763549805
90575126	121	201.3431243897	 	250.88256836	200.210098267
90575131	127	280.2645263672	341.074798584	288.816589356	318.001159668
90575158	122	463.4144592286	2730.114013672	886.942810059	730.317321778
90575167	124	681.0747070313	1262.60534668	773.132873536	739.901184083
90575202	126	624.8075561524	 	 	 
90575205	126	146.9816131592	 	 	492.942932129
90575210	125	464.716369629	1126.368652344	700.510498047	626.144042969
90575229	121	452.6860656739	906.571838379	675.178222657	458.031066895
90575231	127	486.9435119629	 	 	563.657409668
90575243	129	425.888671875	 	 	509.398956299
90575250	122	624.6271362305	1632.914428711	834.854919434	868.443603516
90575257	122	770.2110595704	 	 	1189.532470704
90575288	123	717.4268798829	 	859.586791993	975.851257325
90575318	125	896.7267456055	 	 	 
90575354	122	888.9968261719	2271.620117188	1214.17541504	1254.395629883
90575378	130	565.2184448243	952.488098145	738.073181153	657.173217774
90575465	124	351.3724670411	 	 	410.301452637
90575623	121	206.2140350342	 	311.190185547	212.963623047
90575871	130	788.5908203125	1847.992919922	1369.690429688	1192.525390625
90575873	130	215.82321167	319.210754395	244.895660401	211.945327759
90575919	125	456.154876709	1171.622436524	850.623168946	734.288085938
90575931	127	255.9284667969	451.293243408	366.910064698	338.267272949
90575936	127	1361.6114501954	 	 	 
90575942	129	530.5455932618	899.257324219	913.088867188	588.598144532
90575943	129	165.323501587	 	 	212.069717407
90575944	129	82.2023010254	85.096931458	97.195404053	73.950515747
90575946	129	228.142578125	351.683837891	345.909576416	301.562438965
90575950	122	855.526916504	1315.564697266	932.590881348	786.127197266
90575966	124	1632.4025878907	 	 	 
90575975	130	331.4713745118	 	475.378204346	456.629943848
90575982	123	565.9494018555	1393.207641602	927.343688965	899.912719727
90575991	128	343.8076782227	383.039001465	375.19619751	355.861053467
90576057	172	773.9000244141	 	908.21069336	1222.880004883
90576104	176	677.4252929688	 	 	631.911987305
90576117	175	880.4650268555	 	1503.736206055	917.602600098
90576142	179	110.1199264527	308.962799073	268.462890625	283.09942627
90576148	179	512.3536987305	515.356872559	519.341979981	467.136749268
90576248	179	454.1947021485	655.492736817	568.294921875	556.661254883
90576320	171	422.9750976563	 	 	 
90576336	177	556.4193115235	890.979064942	779.275390625	633.19720459
90576412	175	1233.8935546875	1970.538574219	1189.549560547	1079.44482422
90576445	179	320.2642211915	381.304534912	352.544403076	347.438232422
90576522	171	363.3139343262	 	1151.145629883	1075.653686524
90576531	177	215.9313812256	 	381.969909668	281.763702393
90576552	172	2360.2939453125	 	 	 
90576687	173	595.8167114258	1077.421020509	834.231750489	816.452453614
90576758	172	1123.0201416016	6301.92578125	2056.783447267	1413.567871094
90576759	172	846.2044067383	849.096069336	527.614868164	503.844116211
90576811	175	507.3569641114	791.475402833	591.976806641	641.476745606
90576837	177	341.9737548829	947.563903809	850.869689942	852.359069825
90576844	179	420.3170166016	409.415649414	829.165283204	898.589416504
90576919	175	1952.9683837891	2993.957275391	1817.487304688	1398.04260254
90576925	171	355.5256042481	454.084747315	406.818542481	381.397796631
90576928	171	456.8166503907	675.322143555	899.869445801	861.503112793
90576941	179	342.0816650391	 	 	352.585235596
90576942	179	175.2162017823	328.464965821	161.819854736	196.165893555
90576964	174	462.3642578125	 	 	773.395324708
90576987	173	1441.8647460938	 	 	 
90577063	194	536.2709960938	1571.910278321	1223.334960938	851.241638184
90577065	194	386.4226989747	2166.437011719	2314.961914063	1826.361450196
90577114	195	1160.5247802735	 	 	1458.719970704
90577119	195	1128.5598144532	 	2176.180175782	1766.165405274
90577161	194	306.4204406739	742.093200684	512.322631836	416.874816895
90577224	191	164.4981689454	464.635742188	211.388015747	223.65725708
90577225	191	433.9013671875	 	 	 
90577227	191	166.7661743166	302.32522583	270.539489746	228.890625
90577229	191	111.7309036255	150.217819214	191.852401734	121.718231201
90577256	192	582.4128417969	595.993164063	816.953796387	827.818359375
90577259	192	742.7914428711	 	1114.549682618	983.65008545
90577322	191	235.0114593506	397.179962158	381.582550049	266.537322998
90577326	191	78.9453735352	 	100.009300232	78.450614929
90577411	195	1133.9267578125	 	1133.719360352	946.987548829
90577516	195	656.5167236329	 	1433.573608399	814.925109864
90577618	195	1116.1921386719	 	 	 
90577712	195	771.5933837891	 	1087.079956055	927.136413575
90577782	193	861.0766601563	2724.348144532	1423.285400391	1296.446899415
90577817	195	989.1723632813	2450.404296875	1287.190795899	1419.307006836
90577852	192	686.9910888672	2478.277832032	878.268615723	844.075561524
90577917	195	1755.5504150391	 	 	 
90577920	191	495.7424316407	 	866.274719239	739.266052247
90577924	191	372.5263061525	 	 	 
90577928	191	511.0812988282	574.115966797	518.56616211	465.844879151
90577929	191	65.9949188233	51.3490448	79.523025513	73.072692871
90577964	194	539.8408203125	881.018737793	911.004455567	825.133178711
90578004	156	112.6030578614	145.974075318	110.087059021	113.12992096
90578006	156	338.5102233887	 	 	484.232940674
90578025	151	959.9021606446	2547.456542969	1408.591308594	1007.838623047
90578044	159	1593.2926025391	5325.5234375	2792.169189454	1718.57019043
90578076	160	2609.509765625	3169.167236329	2528.016845704	2160.891357422
90578105	156	387.6006469727	 	715.205078125	599.492370606
90578203	156	468.5506286622	2440.295410157	931.510314942	733.046569825
90578217	155	850.9566650391	1200.430053711	1012.077697754	918.942810059
90578288	153	877.1575927735	 	880.311279297	650.801391602
90578302	156	515.0593872071	539.852783203	495.068572998	483.231292725
90578304	156	393.4376831055	1204.806762696	933.321716309	692.756652833
90578363	154	331.0219116211	 	 	393.101867676
90578380	153	1086.34765625	 	1080.089111329	762.393554688
90578404	156	519.2547607422	2561.296386719	821.792114258	663.827270508
90578413	155	928.5501098633	 	 	 
90578461	154	300.6375427247	560.96484375	394.312286377	319.462585449
90578487	153	102.4793319703	595.248779297	205.262664795	174.726928711
90578496	158	240.4765930176	 	627.694335938	579.704040528
90578500	156	1099.0731201172	 	 	 
90578576	160	3748.7214355469	 	 	 
90578587	153	295.3793029786	336.363555908	314.08859253	261.209350586
90578620	151	387.6317138672	529.458679199	536.114807129	442.806182862
90578661	154	382.6559448243	341.919647217	227.321609497	213.365661621
90578805	156	615.017944336	1634.099853516	1659.76538086	1101.4140625
90578813	155	645.1615600586	 	1174.126586915	934.535827637
90578846	159	72.234451294	58.705886841	46.136543274	48.179317474
90578873	160	2409.0969238282	4171.944335938	3088.751464844	3019.803466797
90578912	155	632.2510986329	 	 	1086.090820313
90578923	151	96.8647155762	178.155960083	121.98248291	95.143791199
90578927	151	538.520690918	647.337463379	610.841430665	615.320434571
90578981	153	375.3661499025	837.719238282	564.069152833	494.075897217
90578985	153	236.0737304688	 	243.957565308	216.545181275
90578986	153	127.3482131959	 	202.037033081	151.215423584
90578988	153	632.9441528321	 	 	629.004028321
90579230	107	1115.5095214844	2141.44506836	1693.471557618	1554.657836915
90579233	107	302.0703430176	1087.378051759	659.414978028	371.331176758
90579270	110	499.8933105469	601.55657959	659.215026856	607.280517579
90579271	110	1768.7342529297	 	 	 
90579272	110	1269.3657226563	1209.03491211	1229.31237793	1265.762084961
90579296	108	375.9235229493	883.452575684	879.168823243	624.744140625
90579944	109	523.0825195313	 	847.303894043	658.880187989
90579960	104	578.6383666993	 	 	 
90579965	104	469.0786132813	 	 	623.607055665
90579985	103	1325.4168701172	2944.508544922	1409.569335938	1460.600830079
90579992	108	775.9295654297	 	959.904174805	829.114135743
90579993	108	628.9205322266	2593.4765625	1239.510742188	965.182250977
90579999	108	862.4157104493	 	 	903.29864502
90606920	371	535.7628173829	2292.398681641	726.121215821	581.748352051
90608879	360	394.9377136231	 	 	434.219818115
90608976	360	1004.4381713868	1271.638793946	1111.537597657	867.590270997
90614172	370	1052.7514648438	 	 	 
90614371	370	493.1726074219	747.284606934	543.580871582	561.245605469
90614876	370	588.726928711	 	738.992675782	734.585876465
90619260	304	634.942932129	861.108520508	797.971679688	790.106567383
90619265	304	1568.3325195313	 	2341.939453125	1673.276367188
90619961	304	1060.025756836	1118.49975586	1138.371582032	1165.647094727
90646128	371	350.4998168946	 	1134.842407227	657.575317383
90676053	372	327.9447631836	612.705688477	776.733154297	782.752380372
90676157	372	566.1981811524	 	 	1137.623168946
90676321	371	720.6541137696	 	717.290649415	737.259155274
90676627	371	910.0502319336	 	1672.232666016	1303.080200196
90676725	371	463.5995483399	1070.168457033	1362.305541993	916.228271485
90676829	371	93.2132492066	 	 	 
90676953	372	302.5881347657	508.368286133	449.607452393	408.761077881
90678671	360	526.9315185547	1238.947509766	583.731384278	539.441101074
90678978	360	885.9098510743	 	 	1272.165161133
90710194	248	1431.7355957032	1905.767333985	1891.07006836	1828.689086915
90710297	248	778.251953125	1122.034057618	1442.5703125	1104.75390625
90710316	245	1525.1400146485	2797.2734375	1949.088012696	1862.837524415
90710319	245	863.501525879	567.842285157	581.735900879	592.913757325
90710386	243	1024.8278808594	1256.759521485	1522.49194336	1168.045898438
90710830	247	1561.927734375	 	 	 
90710853	242	1383.6472167969	 	 	 
90710874	250	1187.208984375	1669.619384766	1629.492309571	1402.857910157
90710930	247	453.4055175782	 	 	 
90710935	247	1572.1105957032	2239.109619141	2073.924560547	1741.390136719
90711360	234	859.7470092774	1260.873535157	1170.078857422	1117.327026368
90712140	219	222.0876007081	381.677978516	252.331130982	254.195114136
90712211	215	286.1799926758	356.399475098	325.627105713	313.421447754
90712216	215	590.3140869141	712.238647461	728.168762208	767.851135254
90712290	218	847.6474609375	3407.080322266	1787.235351563	1669.022705079
90712348	219	1042.5665283204	 	 	1361.614501954
90712914	215	1045.6391601563	1588.36315918	1111.209594727	900.978393555
90712942	219	177.39352417	286.285400391	230.14553833	232.062271118
90712997	218	1267.5704345704	2632.791259766	2101.169677735	1926.284057618
90713391	288	840.5837402344	1299.91772461	1035.197631836	999.734375
90713507	286	1555.8771972657	 	 	1618.447021485
90713909	286	536.9129028321	922.641845704	957.781921387	612.065490723
90713930	287	1098.5286865235	1440.926635743	1164.096191407	1134.114990235
90713998	288	814.8601684571	3117.811523438	1374.606079102	1196.28112793
90714018	265	845.6063232422	1125.381347657	1164.450927735	1349.137939454
90714022	261	913.2979125977	991.097961426	1069.869140625	1005.084228516
90714025	261	895.8632202149	1559.721679688	1999.466064454	1505.987792969
90714232	267	678.3483886719	733.129028321	786.555236817	739.088745118
90714233	267	2543.3071289063	 	 	 
90714237	267	532.553100586	829.947570801	636.106872559	590.715576172
90714245	269	1421.1137695313	1787.125122071	1810.09729004	1273.799682618
90714328	261	1272.0920410157	 	2088.0234375	1469.426391602
90715198	228	131.1982574463	331.979248047	292.909179688	225.207931519
90715266	224	1838.0654296875	3698.125976563	2914.345214844	2491.276123047
90715294	228	497.2164916993	1687.678466797	1301.678466797	1020.091674805
90715353	222	551.3283691407	1119.717895508	888.692993165	703.314880372
90715983	223	1024.8977050782	1482.185424805	1812.069702149	1419.858520508
90715988	223	307.6466369629	588.627624512	669.528137208	673.127319336
90716050	272	1136.0710449219	1887.506347657	1790.526733399	1127.140136719
90716091	278	395.6873779297	 	1176.177856446	648.631530762
90716151	272	859.1004638672	 	 	870.563415528
90716154	272	433.7908630372	 	 	499.917755127
90716332	277	2424.73046875	 	 	2109.397216797
90716352	272	980.5223388672	 	937.643127442	1230.392333985
90716951	272	399.4380493165	466.394866944	487.126098633	457.401763916
90716952	272	1124.4031982422	1909.603027344	1578.462646485	1046.314697266
90716973	280	77.9511108399	269.655090332	207.60635376	112.653045654
90716975	280	134.2507476807	220.172180176	189.689804077	150.300186157
90716978	280	141.3385620118	187.82661438	163.255249024	149.172927857
90716979	280	144.8151855469	217.767791748	205.774536133	180.391494751
90717150	292	1921.9317626954	2848.493164063	3123.10546875	2908.671142579
90717158	292	1588.6221923829	3143.063720704	2329.563476563	2171.718261719
90717167	294	771.3542480469	 	 	 
90717362	294	1661.7086181641	2441.52734375	2903.992919922	2425.704589844
90718024	251	1691.5109863282	 	2293.896484375	1910.989624024
90718081	253	95.8664932251	171.608947754	110.080467224	125.942337036
90718089	253	442.5717773438	1510.768554688	1358.149536133	1150.31213379
90718101	256	1226.9425048829	 	 	 
90718115	255	2388.5090332032	4103.641601563	2914.279785157	2899.974365235
90718147	259	122.6702728272	121.07598114	146.51473999	142.16835022
90718207	256	641.5756225586	1243.60522461	1040.280029297	892.398132325
90718225	251	541.0345458985	994.779479981	1119.006591797	805.784973145
90718268	254	684.4479370118	1550.502441407	1099.213989259	1012.920043946
90718273	260	1477.228515625	1811.431030274	1951.760498047	1774.643066407
90718305	256	116.9586029053	186.842803955	144.432861328	136.437957764
