AID	PTWGT3	PTWGT3_2
91572001	 	10709.51240381
91572040	6200.740914598	4816.484002085
91572063	4474.61861399	4408.705287216
91572117	5997.135459293	5364.50877379
91572122	 	3448.699250279
91572128	11688.405183297	10078.182442058
91572145	 	6248.539973273
91572183	1984.620174772	1799.521191825
91572190	4334.451075357	4574.499017819
91572204	 	10755.715533638
91572214	3811.303373034	3777.627969974
91572221	 	2999.494548096
91572222	4946.513073204	4751.729896085
91572292	2561.430961568	2561.200095052
91572321	3185.495672004	2826.756271734
91572328	4932.853917683	4790.159062166
91572346	7504.402730949	6291.731279636
91572369	4689.390091262	4468.744499856
91572373	 	6485.367426355
91572381	715.829848802	604.212433492
91572385	1837.513721161	1684.971037701
91572387	1609.417644091	1266.38508592
91572389	1448.318458857	1249.05400387
91572396	4269.126726002	4159.708472109
91572408	6719.427205078	5864.942474715
91572462	9285.085485747	9191.738889391
91572471	6734.319665359	6507.589592744
91572841	 	6235.679864236
91572900	7684.984272196	6953.218287996
91572918	3811.303373034	3777.627969974
91572964	5367.143457664	5191.800119963
91572980	 	1791.023479491
91572981	 	1584.298984316
91572986	1764.68089447	1401.087221261
91572989	1751.832309102	1671.442570093
91572999	2635.285979309	2648.412600145
91573016	4130.020980826	3746.858600414
91573031	968.89709451	912.546968302
91573099	 	11863.77510199
91573234	 	4559.841857753
91573253	4647.345227682	3817.729274425
91573254	4596.194305285	3945.661504345
91573258	 	3733.512357059
91573259	5211.123758154	4153.899544899
91573291	6767.874766277	5844.89871472
91573310	5609.042403571	5258.212652927
91573334	5196.785614977	4559.841857753
91573395	2260.591187549	1843.941142634
91573417	3728.743186067	3470.189931307
91573419	3676.095350129	3215.594331926
91573708	660.343787832	535.917643778
91573811	5738.697145708	5334.203284416
91573940	5026.812866989	5000.085837108
91573955	4342.084735471	3618.112670302
91573956	4423.518546417	3606.81496839
91573958	4734.504059379	3805.808261662
91574121	7542.642923531	6896.436083201
91574143	 	8391.439202398
91574231	 	10263.504368147
91574308	1279.978228142	984.968794559
91574337	19169.006827262	19004.856028451
91574399	7695.069022262	7204.053134999
91574504	1489.202585363	1092.991515501
91574594	7229.430795166	6152.09936193
91574632	 	5902.599494339
91574688	8277.961122247	7725.575711609
91574694	11999.986056036	10818.928677906
91574696	9275.007111075	8621.279171851
91574816	5844.640908923	4497.567634362
91574916	4980.051638304	3937.670933
91574923	 	8137.668651121
91575065	6152.683116038	5298.651123572
91575076	5225.741924338	4484.334171579
91575077	4341.010455784	3764.524244728
91575083	 	8453.124526968
91575094	9884.323266881	8715.439046013
91575151	5041.747249242	4912.694381459
91575162	 	6330.49205808
91575180	8670.654916342	8206.000686391
91575191	5703.88533653	5699.920608633
91575194	 	5699.920608633
91575216	 	6051.325530149
91575217	5608.95120463	5160.806887686
91575227	 	5648.062730353
91575235	 	3804.361881097
91575239	5453.180309366	4630.577579848
91575240	 	1471.439936785
91575246	2005.152402817	1734.544443436
91575249	 	2571.374585206
91575280	 	7471.88497075
91575282	 	5655.498124453
91575296	8244.477604453	7722.83894975
91575315	4909.882022907	3625.968188124
91575317	5608.95120463	5160.806887686
91575358	5319.414468926	5373.84679597
91575387	2643.820336759	2206.306823804
91575391	 	5699.920608633
91575394	 	5496.020435926
91575420	 	7670.473766227
91575432	 	5884.630382576
91575477	5708.001998552	4793.097192376
91575522	8996.20560245	9031.186736136
91575602	5111.826821223	4887.010476753
91575626	5730.692051046	5462.071431412
91575627	2185.282836083	2082.849857227
91575628	 	3262.218477488
91575726	 	2577.128532172
91575911	5608.95120463	5160.806887686
91575916	6456.60303999	5852.539218754
91575930	 	7631.107435713
91575931	4790.748270192	3980.803689581
91575943	1899.233495705	1625.580398018
91575948	2256.301237576	1822.089448673
91575949	1241.544226288	1052.442023101
91575956	7366.801431974	7371.4047178
91575966	7807.875862135	5480.183669868
91575992	 	6244.449249733
91576088	 	6800.315906635
91576129	5342.265473079	4818.362769858
91576138	5480.079972507	4816.05157993
91576154	5989.741440363	5285.216408803
91576163	3821.762262451	3537.762752224
91576240	2893.683344701	2956.43981316
91576270	6186.297523802	5791.217685885
91576300	4481.921665686	4156.875831543
91576363	 	5176.190815073
91576537	4868.442843518	4456.161408816
91576556	5285.159575493	4506.821174531
91576561	4428.859039158	4173.519270787
91576576	6187.248507571	5500.622783866
91576611	3745.641366081	3473.993373862
91576651	1716.883538921	1470.288086304
91576674	 	7610.7782835
91576748	 	3608.675328982
91576910	3537.278490056	3129.667709772
91576919	 	3472.878214619
91576934	5480.079972507	4816.05157993
91577183	 	5988.617649489
91577221	 	6250.257875445
91577256	 	6162.761735548
91577268	6406.837755947	7777.716916518
91577311	8653.448273538	8056.963473713
91577313	6992.765261333	6626.874047284
91577319	 	7623.759072173
91577414	 	7486.520945783
91577557	5574.111658695	5029.60205451
91577613	7606.139161675	7559.507576215
91577786	6902.018249429	7504.199514716
91577922	1341.404053253	1804.081477989
91577923	1305.18828118	1696.095792856
91578027	9990.009538202	10063.826667438
91578060	10485.030603711	10315.157720965
91578074	 	27824.431717592
91578089	1820.068943965	1567.509998384
91578116	4958.753936614	4383.117136241
91578193	 	5377.066250251
91578197	5834.146400358	5236.803814683
91578268	5438.105247811	5302.274636074
91578297	 	9146.406715136
91578314	 	4532.020845726
91578315	6193.651779388	4386.233599494
91578342	8122.221751456	7453.074348522
91578491	 	5377.066250251
91578495	 	5377.066250251
91578510	10437.090845685	7120.912646254
91578526	 	9895.868400453
91578740	5752.732472583	5576.236609479
91578747	7365.256321705	6722.660933045
91578892	6310.594951967	6116.569230892
91578898	5917.609502735	5261.738906601
91578917	 	7601.595521153
91578999	 	9146.406715136
91579175	10346.071123354	9454.630267317
91579235	 	5920.592048512
91579243	4383.570621128	3317.923536561
91579246	 	3861.2618517
91579272	 	4569.697623328
91579296	 	5471.330297466
91579339	8613.685578086	7966.488158214
91579939	5971.585583519	5327.025509588
91579940	 	3317.923536561
91579942	 	3861.2618517
91579962	3361.305861043	3498.282070359
91579967	 	4834.429590814
91579968	4015.513717601	4091.394230315
91579987	9141.996982263	8237.277663695
91579992	5832.885088543	5345.227467343
91579993	 	6008.498920245
91579995	4924.048336317	4443.014856336
91579997	5669.415986868	5169.208565421
91608475	 	7452.968181274
91608476	7064.935446959	6920.584649588
91614578	 	4310.854035422
91614772	 	4668.331168992
91614874	6483.165301403	5467.716057121
91614974	7212.209752806	6133.876216212
91614978	6281.590223667	5590.947403079
91619063	7664.413808882	7114.07070065
91619064	7614.476999941	7371.801780311
91619268	6918.137743608	6561.545218624
91619467	8293.27611257	7859.714081867
91619665	8669.283535141	8341.301473249
91619862	10723.754984518	10369.216186473
91646122	 	13817.381084054
91676253	4608.003323782	4842.898556058
91676357	3652.471384361	3322.101343467
91676456	 	4883.474976199
91676522	6379.64248339	5795.789433952
91676656	3968.153207937	3603.964956225
91676958	5770.998027106	5446.550331841
91678173	6709.43777801	6341.76135468
91678373	8635.936205504	8244.976788158
91678572	1811.999573346	1709.353162411
91678674	5463.491770062	5353.10090525
91710018	6955.474583533	6647.317306932
91710037	7671.023739947	7401.7841571
91710130	7734.122904383	7391.468103594
91710214	4716.236812932	4027.145358764
91710252	5191.982891439	4405.347888032
91710287	2358.836450223	2182.624659971
91710293	9487.587318985	8906.605765551
91710339	8251.940259296	7921.546343303
91710652	8977.107112444	8817.510503809
91710655	10244.089171762	9917.470303429
91710973	12089.384997133	11477.384590843
91710996	9502.293207122	9061.527543316
91711065	4824.902133683	4452.96983481
91711167	10550.187095915	9833.945130901
91711371	1152.867999186	1143.276010727
91711476	9584.537024071	8933.852202741
91712211	8462.133309882	7092.714578485
91712217	4714.807320696	3572.060898028
91712273	4598.950608226	4277.62639725
91712274	8200.883400477	7455.525210456
91712314	8226.541001371	6973.200743754
91712372	 	4328.083094845
91712375	1656.83985143	1539.214310749
91712842	7048.653311383	6456.024687703
91712901	23224.374941921	22298.628423163
91712902	20573.129628097	19497.015492957
91712905	26602.837816326	25857.622880345
91712908	23224.374941921	22298.628423163
91712909	23224.374941921	22298.628423163
91712918	4914.508078423	4111.768087429
91713006	10489.665886257	9847.447786849
91713039	9391.24345088	8585.474148266
91713106	 	783.365398867
91713190	5513.217847154	5328.272750521
91713192	8377.523467546	8122.630129061
91713298	8377.523467546	8122.630129061
91713997	4132.983577847	2962.05234682
91713998	6405.924620853	6218.668048923
91714043	6167.022055469	6070.713116025
91714046	6167.022055469	6070.713116025
91714099	8420.313846751	8664.521653352
91714128	7075.90842957	6983.135684659
91714144	7707.347773939	7502.169611372
91714212	8921.569236564	8878.336272042
91714326	7493.264267574	6601.533119033
91714338	6020.75993372	5159.409628046
91714928	7810.649571002	7598.96708982
91714938	 	7533.088825463
91714987	7176.350537872	5902.262063378
91715124	 	1792.131617034
91715280	7814.388666444	7565.237576053
91715286	7283.887261306	7154.393136701
91715892	6007.654229121	5469.238086929
91715920	7273.054914308	7006.172333837
91715921	 	1665.789790306
91715927	1928.876215979	1782.763552954
91715930	10868.599758577	8758.827276123
91715952	4127.552525405	3848.771256735
91715958	4127.552525405	3848.771256735
