AID	AH_RAW	PVTPCT3	PVTSTD3C	PVTSTD3L	PVTPCT1C	PVTPCT1L	PVTSTD1
98576335	69	38	98	100	59	58	104
98576346	62	23	89	91	5	5	78
98576348	64	28	91	93	31	30	91
98576416	87	100	122	123	92	92	119
98576441	83	91	116	118	81	80	111
98576467	74	56	104	106	89	89	119
98576509	86	98	120	121	69	68	108
98576545	66	33	94	96	25	24	91
98576596	82	88	115	116	55	54	102
98576600	73	50	103	105	72	71	110
98576637	77	71	108	110	79	78	113
98576668	73	50	103	105	91	91	121
98576688	77	71	108	110	60	59	105
98576946	64	28	91	93	36	34	95
98576952	72	45	102	104	40	38	96
98576964	85	96	119	120	99	99	123
98576996	62	23	89	91	6	5	78
98577013	66	33	94	96	45	44	98
98577061	86	98	120	121	100	100	124
98577114	83	91	116	118	82	81	114
98577151	56	10	81	83	71	70	107
98577161	76	68	107	109	37	35	95
98577165	84	94	118	119	23	22	91
98577169	72	45	102	104	12	11	82
98577181	51	4	74	77	6	5	77
98577220	75	63	106	107	81	80	113
98577226	86	98	120	121	94	93	118
98577259	77	71	108	110	87	86	114
98577324	75	63	106	107	60	59	104
98577327	78	75	110	111	80	79	113
98577328	73	50	103	105	76	75	112
98577480	68	36	96	98	87	86	117
98577484	75	63	106	107	88	87	117
98577923	86	98	120	121	100	100	131
98577924	83	91	116	118	93	93	122
98577925	86	98	120	121	94	94	120
98577954	76	68	107	109	74	73	110
98578043	82	88	115	116	97	97	122
98578079	75	63	106	107	 	 	 
98578101	74	56	104	106	87	86	114
98578198	74	56	104	106	72	71	109
98578207	68	36	96	98	16	15	85
98578267	75	63	106	107	98	98	129
98578291	74	56	104	106	69	68	108
98578299	57	11	82	84	16	15	84
98578308	63	25	90	92	4	4	72
98578316	64	28	91	93	30	29	93
98578330	996	996	996	996	88	 	118
98578334	69	38	98	100	25	24	89
98578346	65	30	93	95	28	27	93
98578348	85	96	119	120	94	94	123
98578381	52	5	75	78	8	7	79
98578397	74	56	104	106	66	65	106
98578417	59	15	85	87	6	5	77
98578432	996	996	996	996	 	 	 
98578438	75	63	106	107	90	89	119
98578448	80	82	112	114	77	76	111
98578465	56	10	81	83	5	5	74
98578495	75	63	106	107	34	33	94
98578504	65	30	93	95	28	27	93
98578548	58	13	83	86	83	82	114
98578582	49	3	71	74	11	10	81
98578723	75	63	106	107	66	65	107
98578747	81	85	114	115	74	73	111
98578767	81	85	114	115	55	54	102
98578782	76	68	107	109	45	44	98
98578980	63	25	90	92	17	16	84
98578996	62	23	89	91	15	14	84
98579235	68	36	96	98	19	18	86
98579239	77	71	108	110	76	75	111
98579373	59	15	85	87	30	29	93
98579930	63	25	90	92	36	34	95
98579937	52	5	75	78	14	13	83
98579938	58	13	83	86	35	34	94
98579939	57	11	82	84	29	28	91
98579940	74	56	104	106	80	79	113
98579945	63	25	90	92	6	5	79
98579948	60	17	86	88	38	37	95
98579952	996	996	996	996	44	 	96
98579953	26	1	41	44	0	0	46
98579954	37	1	56	59	6	6	81
98579963	81	85	114	115	67	66	107
98579966	66	33	94	96	66	65	107
98579968	75	63	106	107	68	66	107
98579969	77	71	108	110	89	88	118
98579976	85	96	119	120	64	63	106
98579979	79	79	111	113	80	79	112
98579991	73	50	103	105	71	70	108
98579997	77	71	108	110	15	14	84
98606027	71	41	100	102	29	28	93
98606428	73	50	103	105	28	27	93
98606822	85	96	119	120	47	46	99
98606929	58	13	83	86	6	5	78
98608270	66	33	94	96	 	 	 
98608876	77	71	108	110	84	84	115
98619063	78	75	110	111	86	85	117
98619068	80	82	112	114	79	78	112
98619162	81	85	114	115	91	91	121
98619360	80	82	112	114	90	90	120
98619368	75	63	106	107	59	57	102
98619466	67	35	95	97	48	46	97
98619963	85	96	119	120	99	99	131
98619965	83	91	116	118	95	94	125
98619967	83	91	116	118	81	80	113
98636350	76	68	107	109	 	 	 
98646328	77	71	108	110	42	40	97
98646329	74	56	104	106	83	82	114
98676254	64	28	91	93	26	24	91
98676352	64	28	91	93	38	37	95
98676426	55	8	79	82	6	6	80
98676651	67	35	95	97	87	86	117
98676853	72	45	102	104	38	37	95
98710078	72	45	102	104	 	 	 
98710135	73	50	103	105	33	32	92
98710156	60	17	86	88	99	99	133
98710175	66	33	94	96	20	19	87
98710195	73	50	103	105	72	71	109
98710250	50	3	73	75	24	23	89
98710286	64	28	91	93	16	15	86
98710291	77	71	108	110	36	35	93
98710292	63	25	90	92	30	29	91
98710293	70	39	99	101	75	75	111
98710650	63	25	90	92	66	65	106
98710672	75	63	106	107	62	61	105
98710913	70	39	99	101	34	33	92
98710933	82	88	115	116	80	79	113
98710977	59	15	85	87	46	45	97
98710991	69	38	98	100	44	42	96
98711077	68	36	96	98	45	43	96
98711165	75	63	106	107	90	90	118
98712214	72	45	102	104	64	63	106
98712216	74	56	104	106	66	65	106
98712218	73	50	103	105	60	59	104
98712247	52	5	75	78	14	13	84
98712295	79	79	111	113	88	87	117
98712941	79	79	111	113	47	45	97
98712942	996	996	996	996	43	 	96
98712973	60	17	86	88	 	 	 
98712976	72	45	102	104	57	56	102
98713033	996	996	996	996	50	 	100
98713204	996	996	996	996	19	 	86
98713391	77	71	108	110	32	31	91
98713806	74	56	104	106	63	62	105
98713992	78	75	110	111	42	41	95
98714025	83	91	116	118	98	98	124
98714084	56	10	81	83	13	13	83
98714097	61	20	87	90	39	38	94
98714198	52	5	75	78	21	20	87
98714242	70	39	99	101	31	30	91
98714282	85	96	119	120	85	85	116
98714312	57	11	82	84	6	5	79
98714325	63	25	90	92	6	5	81
98714380	66	33	94	96	22	21	87
98714481	62	23	89	91	62	61	104
98714888	74	56	104	106	48	46	97
98714928	73	50	103	105	54	53	100
98714991	80	82	112	114	94	93	120
98715023	78	75	110	111	48	47	97
98715097	74	56	104	106	80	79	113
98715191	54	7	78	81	5	4	75
98715250	58	13	83	86	27	26	89
98715258	61	20	87	90	31	29	91
98715263	85	96	119	120	96	95	121
98715955	57	11	82	84	11	10	84
98715980	74	56	104	106	72	72	109
98715983	82	88	115	116	58	56	103
98715986	62	23	89	91	32	31	92
98715994	83	91	116	118	62	61	104
98716010	81	85	114	115	85	84	116
98716054	74	56	104	106	74	73	111
98716066	64	28	91	93	53	51	99
98716117	65	30	93	95	57	56	102
98716165	84	94	118	119	87	87	117
98716167	86	98	120	121	100	100	135
